Domain,Filename Timestamp,Produced At
amazon.com,2024-09-07 23:53:57,2024-09-07 10:13:16
amazon.com,2024-09-07 23:59:43,2024-09-07 10:13:16
amazon.com,2024-09-08 00:08:43,2024-09-07 10:13:16
amazon.com,2024-09-08 00:10:41,2024-09-07 10:13:16
amazon.com,2024-09-08 00:40:45,2024-09-07 10:13:16
amazon.com,2024-09-08 01:10:50,2024-09-07 10:13:16
amazon.com,2024-09-08 01:40:54,2024-09-07 10:13:16
amazon.com,2024-09-08 02:10:59,2024-09-07 10:13:16
amazon.com,2024-09-08 02:41:03,2024-09-07 10:13:16
amazon.com,2024-09-08 03:11:08,2024-09-07 10:13:16
amazon.com,2024-09-08 03:41:13,2024-09-07 10:13:16
amazon.com,2024-09-08 04:11:17,2024-09-07 10:13:16
amazon.com,2024-09-08 04:41:22,2024-09-07 10:13:16
amazon.com,2024-09-08 05:11:26,2024-09-07 10:13:16
amazon.com,2024-09-08 05:41:31,2024-09-07 10:13:16
amazon.com,2024-09-08 06:11:35,2024-09-07 10:13:16
amazon.com,2024-09-08 06:41:40,2024-09-07 10:13:16
amazon.com,2024-09-08 07:11:44,2024-09-07 10:13:16
amazon.com,2024-09-08 07:41:49,2024-09-07 10:13:16
amazon.com,2024-09-08 08:11:54,2024-09-07 10:13:16
amazon.com,2024-09-08 08:42:00,2024-09-07 10:13:16
amazon.com,2024-09-08 09:12:04,2024-09-07 10:13:16
amazon.com,2024-09-08 09:42:09,2024-09-07 10:13:16
amazon.com,2024-09-08 10:12:13,2024-09-07 10:13:16
amazon.com,2024-09-08 10:42:19,2024-09-07 10:13:16
amazon.com,2024-09-08 11:12:31,2024-09-07 10:13:16
amazon.com,2024-09-08 11:42:36,2024-09-07 10:13:16
amazon.com,2024-09-08 12:12:41,2024-09-07 10:13:16
amazon.com,2024-09-08 12:42:45,2024-09-07 10:13:16
amazon.com,2024-09-08 13:12:56,2024-09-07 10:13:16
amazon.com,2024-09-08 13:43:01,2024-09-07 10:13:16
amazon.com,2024-09-08 14:13:07,2024-09-07 10:13:16
amazon.com,2024-09-08 14:43:12,2024-09-07 10:13:16
amazon.com,2024-09-08 15:13:17,2024-09-07 10:13:16
amazon.com,2024-09-08 15:43:22,2024-09-07 10:13:16
amazon.com,2024-09-08 16:13:27,2024-09-07 10:13:16
amazon.com,2024-09-08 16:43:31,2024-09-07 10:13:16
amazon.com,2024-09-08 17:13:36,2024-09-07 10:13:16
amazon.com,2024-09-08 17:43:41,2024-09-08 10:13:16
amazon.com,2024-09-08 18:13:46,2024-09-08 10:13:16
amazon.com,2024-09-08 18:43:59,2024-09-08 10:13:16
amazon.com,2024-09-08 19:14:15,2024-09-08 10:13:16
amazon.com,2024-09-08 19:44:19,2024-09-08 10:13:16
amazon.com,2024-09-08 20:14:24,2024-09-08 10:13:16
amazon.com,2024-09-08 20:44:29,2024-09-08 10:13:16
amazon.com,2024-09-08 21:14:33,2024-09-08 10:13:16
amazon.com,2024-09-08 21:44:39,2024-09-08 10:13:16
amazon.com,2024-09-08 22:14:45,2024-09-08 10:13:16
amazon.com,2024-09-08 22:44:49,2024-09-08 10:13:16
amazon.com,2024-09-08 23:14:54,2024-09-08 10:13:16
amazon.com,2024-09-08 23:44:59,2024-09-08 10:13:16
apple.com,2024-09-07 23:53:56,2024-09-07 09:45:51
apple.com,2024-09-07 23:59:42,2024-09-07 17:46:37
apple.com,2024-09-08 00:08:43,2024-09-07 17:46:37
apple.com,2024-09-08 00:10:41,2024-09-07 17:46:37
apple.com,2024-09-08 00:40:45,2024-09-07 17:46:37
apple.com,2024-09-08 01:10:50,2024-09-07 17:46:37
apple.com,2024-09-08 01:40:54,2024-09-07 17:46:37
apple.com,2024-09-08 02:10:58,2024-09-07 17:46:37
apple.com,2024-09-08 02:41:02,2024-09-07 17:46:37
apple.com,2024-09-08 03:11:07,2024-09-07 17:46:37
apple.com,2024-09-08 03:41:12,2024-09-07 17:46:37
apple.com,2024-09-08 04:11:17,2024-09-07 17:46:37
apple.com,2024-09-08 04:41:21,2024-09-07 17:46:37
apple.com,2024-09-08 05:11:26,2024-09-07 17:46:37
apple.com,2024-09-08 05:41:30,2024-09-07 17:46:37
apple.com,2024-09-08 06:11:35,2024-09-07 17:46:37
apple.com,2024-09-08 06:41:39,2024-09-07 17:46:37
apple.com,2024-09-08 07:11:44,2024-09-07 17:46:37
apple.com,2024-09-08 07:41:48,2024-09-07 17:46:37
apple.com,2024-09-08 08:11:53,2024-09-08 01:47:02
apple.com,2024-09-08 09:12:04,2024-09-08 01:47:02
apple.com,2024-09-08 09:42:08,2024-09-08 01:47:02
apple.com,2024-09-08 10:12:12,2024-09-08 01:47:02
apple.com,2024-09-08 10:42:19,2024-09-08 01:47:02
apple.com,2024-09-08 11:12:31,2024-09-08 01:47:02
apple.com,2024-09-08 11:42:36,2024-09-08 01:47:02
apple.com,2024-09-08 12:12:41,2024-09-08 01:47:02
apple.com,2024-09-08 12:42:45,2024-09-08 01:47:02
apple.com,2024-09-08 13:12:55,2024-09-08 01:47:02
apple.com,2024-09-08 13:43:01,2024-09-08 01:47:02
apple.com,2024-09-08 14:13:07,2024-09-08 01:47:02
apple.com,2024-09-08 14:43:12,2024-09-08 01:47:02
apple.com,2024-09-08 15:13:17,2024-09-08 01:47:02
apple.com,2024-09-08 15:43:21,2024-09-08 01:47:02
apple.com,2024-09-08 16:13:26,2024-09-08 09:47:04
apple.com,2024-09-08 16:43:31,2024-09-08 09:47:04
apple.com,2024-09-08 17:13:36,2024-09-08 09:47:04
apple.com,2024-09-08 17:43:41,2024-09-08 09:47:04
apple.com,2024-09-08 18:13:46,2024-09-08 09:47:04
apple.com,2024-09-08 18:43:52,2024-09-08 09:47:04
apple.com,2024-09-08 19:14:14,2024-09-08 09:47:04
apple.com,2024-09-08 19:44:19,2024-09-08 09:47:04
